date_start,data_end,name,ticker,retorno,ret
6/1/2020,6/30/2020,MARFRIG ON ,MRFG3<XBSP>,-3.223330775,-0.032233308
6/1/2020,6/30/2020,BTGP BANCO UNT ,BPAC11<XBSP>,56.63390663,0.566339066
6/1/2020,6/30/2020,PETRO RIO ON ,PRIO3<XBSP>,14.23499032,0.142349903
6/1/2020,6/30/2020,SIMPAR ON ,SIMH3<XBSP>,13.9626352,0.139626352
6/1/2020,6/30/2020,KLABIN UNT ,KLBN11<XBSP>,3.145611365,0.031456114
6/1/2020,6/30/2020,VIA ON ,VIIA3<XBSP>,23.46774194,0.234677419
6/1/2020,6/30/2020,REDE DOR ON ,RDOR3<XBSP>,,
6/1/2020,6/30/2020,PETROBRAS BR ON ,VBBR3<XBSP>,-0.415896488,-0.004158965
6/1/2020,6/30/2020,ISHARES S&P 500 CI ,IVVB11<XBSP>,3.455735838,0.034557358
6/1/2020,6/30/2020,VIBRA ON ,VBBR3<XBSP>,-0.415896488,-0.004158965
6/1/2020,6/30/2020,TELEFÔNICA BRASIL ON ,VIVT3<XBSP>,3.374626228,0.033746262
6/1/2020,6/30/2020,PETZ ON ,PETZ3<XBSP>,,
6/1/2020,6/30/2020,MULTIPLAN ON ,MULT3<XBSP>,-0.918318028,-0.00918318
6/1/2020,6/30/2020,INTER BANCO UNIT ,BIDI11<XBSP>,22.61904762,0.226190476
6/1/2020,6/30/2020,ASSAÍ ON ,ASAI3<XBSP>,,
date_start,data_end,name,,,
7/1/2020,7/31/2020,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,5.720463928,0.057204639
7/1/2020,7/31/2020,PETROBRAS PN ,PETR4<XBSP>,3.018283788,0.030182838
7/1/2020,7/31/2020,COPEL PNB ,CPLE6<XBSP>,9.141729694,0.091417297
7/1/2020,7/31/2020,OGX PETRÓLEO ON ,OGXP3<XBSP>,,
7/1/2020,7/31/2020,REDECARD ON ,RDCD3<XBSP>,,
7/1/2020,7/31/2020,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,,
7/1/2020,7/31/2020,GERDAU PN ,GGBR4<XBSP>,8.994378514,0.089943785
7/1/2020,7/31/2020,CETIP ON ,CTIP3<XBSP>,,
7/1/2020,7/31/2020,ENERGIAS DO BRASIL ON ,ENBR3<XBSP>,6.544202067,0.065442021
7/1/2020,7/31/2020,CIELO ON ,CIEL3<XBSP>,16.23376623,0.162337662
7/1/2020,7/31/2020,TIM PART. ON ,TIMS3<XBSP>,10.91549296,0.10915493
7/1/2020,7/31/2020,VALE PNA ,VALE5<XBSP>,,
7/1/2020,7/31/2020,TELEFÔNICA BR PN ,VIVT4<XBSP>,10.88834747,0.108883475
7/1/2020,7/31/2020,LOJAS RENNER ON ,LREN3<XBSP>,-1.602870813,-0.016028708
7/1/2020,7/31/2020,BANCO DO BRASIL ON ,BBAS3<XBSP>,4.447900466,0.044479005
7/1/2020,7/31/2020,MULTIPLUS ON ,MPLU3<XBSP>,,
7/1/2020,7/31/2020,PDG REALTY ON ,PDGR3<XBSP>,-8.8,-0.088
7/1/2020,7/31/2020,BRF ON ,BRFS3<XBSP>,-2.634054563,-0.026340546
7/1/2020,7/31/2020,DASA ON ,DASA3<XBSP>,,
7/1/2020,7/31/2020,AMBEV PN ,AMBV4<XBSP>,,
7/1/2020,7/31/2020,IOCHPE MAXION ON ,MYPK3<XBSP>,-4.955621302,-0.049556213
7/1/2020,7/31/2020,COSAN ON ,CSAN3<XBSP>,27.46756909,0.274675691
7/1/2020,7/31/2020,BM&FBOVESPA ON ,B3SA3<XBSP>,15.46469351,0.154646935
7/1/2020,7/31/2020,PETROBRAS ON ,PETR3<XBSP>,2.640759305,0.026407593
7/1/2020,7/31/2020,CEMIG PN ,CMIG4<XBSP>,8.89292196,0.08892922
7/1/2020,7/31/2020,AES TIETÊ PN ,GETI4<XBSP>,,
7/1/2020,7/31/2020,CCR ON ,CCRO3<XBSP>,3.172413793,0.031724138
7/1/2020,7/31/2020,ULTRAPAR ON ,UGPA3<XBSP>,3.046789989,0.0304679
7/1/2020,7/31/2020,MARCOPOLO PN ,POMO4<XBSP>,1.706484642,0.017064846
7/1/2020,7/31/2020,MRV ON ,MRVE3<XBSP>,6.333333334,0.063333333
7/1/2020,7/31/2020,BR MALLS PART. ON ,BRML3<XBSP>,-1.785714286,-0.017857143
7/1/2020,7/31/2020,ARTERIS ON ,ARTR3<XBSP>,,
7/1/2020,7/31/2020,VALE ON ,VALE3<XBSP>,8.565808298,0.085658083
7/1/2020,7/31/2020,RAIA DROGASIL ON ,RADL3<XBSP>,12.18586151,0.121858615
7/1/2020,7/31/2020,OI PN ,OIBR4<XBSP>,98.66666667,0.986666667
7/1/2020,7/31/2020,BR PROPERTIES ON ,BRPR3<XBSP>,3.923766816,0.039237668
7/1/2020,7/31/2020,SABESP ON ,SBSP3<XBSP>,5.459272097,0.054592721
7/1/2020,7/31/2020,KROTON UNIT ,KROT11<XBSP>,,
7/1/2020,7/31/2020,BRADESCO PN ,BBDC4<XBSP>,8.503095093,0.085030951
7/1/2020,7/31/2020,TOTVS ON ,TOTS3<XBSP>,11.57667387,0.115766739
7/1/2020,7/31/2020,KROTON ON ,COGN3<XBSP>,25.26475038,0.252647504
7/1/2020,7/31/2020,COELCE PNA ,COCE5<XBSP>,16.6871381,0.166871381
7/1/2020,7/31/2020,ANHANGUERA ON ,AEDU3<XBSP>,,
7/1/2020,7/31/2020,EVEN ON ,EVEN3<XBSP>,33.63471971,0.336347197
7/1/2020,7/31/2020,RANDON PART. PN ,RAPT4<XBSP>,22.26847034,0.222684703
7/1/2020,7/31/2020,ITAÚSA PN ,ITSA4<XBSP>,11.26173097,0.11261731
7/1/2020,7/31/2020,HYPERMARCAS ON ,HYPE3<XBSP>,8.468468469,0.084684685
7/1/2020,7/31/2020,SOUZA CRUZ ON ,CRUZ3<XBSP>,,
7/1/2020,7/31/2020,MINERVA ON ,BEEF3<XBSP>,3.269961977,0.03269962
7/1/2020,7/31/2020,TRACTEBEL ON ,EGIE3<XBSP>,9.693513899,0.096935139
7/1/2020,7/31/2020,BB SEGURIDADE ON ,BBSE3<XBSP>,2.053538687,0.020535387
7/1/2020,7/31/2020,SUZANO PAPEL PNA ,SUZB5<XBSP>,,
7/1/2020,7/31/2020,ALL ON ,ALLL3<XBSP>,,
7/1/2020,7/31/2020,ESTÁCIO PART. ON ,YDUQ3<XBSP>,0.713224369,0.007132244
7/1/2020,7/31/2020,KLABIN PN ,KLBN4<XBSP>,0,0
7/1/2020,7/31/2020,AMBEV ON ,ABEV3<XBSP>,-1.697312589,-0.016973126
7/1/2020,7/31/2020,LOCALIZA ON ,RENT3<XBSP>,24.46834515,0.244683451
7/1/2020,7/31/2020,TUPY ON ,TUPY3<XBSP>,-4.712041885,-0.047120419
7/1/2020,7/31/2020,VALID ON ,VLID3<XBSP>,2.038924931,0.020389249
7/1/2020,7/31/2020,EMBRAER ON ,EMBR3<XBSP>,-5.933250927,-0.059332509
7/1/2020,7/31/2020,FIBRIA ON ,FIBR3<XBSP>,,
7/1/2020,7/31/2020,ESTACIO PART. ON ,YDUQ3<XBSP>,0.713224369,0.007132244
7/1/2020,7/31/2020,KLABIN UNIT ,KLBN11<XBSP>,1.623216921,0.016232169
7/1/2020,7/31/2020,LOJAS AMERICANAS PN ,LAME4<XBSP>,5.966438782,0.059664388
7/1/2020,7/31/2020,M. DIAS BRANCO ON ,MDIA3<XBSP>,-3.76754494,-0.037675449
7/1/2020,7/31/2020,CPFL ENERGIA ON ,CPFE3<XBSP>,8.323528632,0.083235286
7/1/2020,7/31/2020,QUALICORP ON ,QUAL3<XBSP>,-3.448275862,-0.034482759
7/1/2020,7/31/2020,EQUATORIAL ON ,EQTL3<XBSP>,11.38482232,0.113848223
7/1/2020,7/31/2020,WEG ON ,WEGE3<XBSP>,33.32989902,0.33329899
7/1/2020,7/31/2020,ITAUSA PN ,ITSA4<XBSP>,11.26173097,0.11261731
7/1/2020,7/31/2020,SÃO MARTINHO ON ,SMTO3<XBSP>,0.942951438,0.009429514
7/1/2020,7/31/2020,TELEFÔNICA BRASIL PN ,VIVT4<XBSP>,10.88834747,0.108883475
7/1/2020,7/31/2020,RUMO LOG. ON ,RUMO3<XBSP>,,
7/1/2020,7/31/2020,TRANSMISSÃO PAULISTA PN ,TRPL4<XBSP>,8.55314804,0.08553148
7/1/2020,7/31/2020,ECORODOVIAS ON ,ECOR3<XBSP>,11.95065536,0.119506554
7/1/2020,7/31/2020,TAESA UNIT ,TAEE11<XBSP>,3.060498221,0.030604982
